;dXeYYT;Lucina Melmar;3578 Evergreen Lane;42;-2
00286702E;kUCrFiy7VN;Mendel Henricsson;23 Main Parkway;40;-8
00292185B;7Rf4QHMDpbq;Kenny Ferschke;61969 Mallory Park;42;3
00292285R;ZsYvPb;Maurita Eskriet;151 Lake View Pass;37;-3
00294168V;VIcegjK7;Rori Archanbault;28 Fairview Lane;39;-5
00297528L;FlqkSWdyDeE0;Bette-ann MacAndie;0 Anthes Parkway;43;2
00310208V;CDXafbrLbH;Corina Maidens;0449 Debra Center;38;-7
00322633H;JJWfXwpVV;Thomas Malan;0091 Dakota Crossing;42;-0
00329235Z;XNMjTQRJwX2;Addy Eade;83833 Crest Line Way;42;2
00335231P;5W6wHptPT59h;Korry Arckoll;666 Novick Road;37;2
00337867Q;BBnKVOO;Carita Curston;6378 International Junction;40;-2
00354349D;yTrxmHA0B0nr;Dore Stoffel;38211 Delladonna Alley;37;0
00359836D;byaqxLjC;Delainey Sitford;4840 Larry Place;40;-4
00372010Q;isXW81w;Rodrick Kimmince;360 Schlimgen Trail;38;1
00372531J;zfLJyFyknAi;Marquita Lefeaver;14 Blackbird Terrace;38;-4
00404258P;CG0PgS3FkV;Janot Whitnall;3 Paget Circle;35;-3
00442237S;PQclbd;Josias Gommes;209 Northport Lane;35;-5
00449503E;kURFVfZn6F;Beau Erbain;274 Grasskamp Trail;40;-3
00454143L;xgG9aV1EKM;Herrick Tackley;99383 Bayside Parkway;39;-3
00463415C;TcyTS6ZOA;Stearn Pollie;2198 Knutson Hill;42;-3
00463456D;fcDJxjWZmj8;Merrill Orans;69311 Village Avenue;40;1
00466985K;6YGpjc;Eugenie Osan;608 Springs Way;38;-0
00470839V;9hTU2DdIuE;Carita Kirkland;84753 Carberry Crossing;41;-2
00471114T;cUOkU2f9;Bayard Simson;43652 Boyd Point;40;-6
00477645N;RQFTFrw2;Geralda Ivkovic;76 Hudson Crossing;42;-1
00498387U;PmKQUJ5qR;Atlanta Wensley;97252 Fuller Street;41;-8
00512736B;0qYxDORXvo7;Mychal Etchingham;15 Johnson Park;40;-3
00512911J;IW39gIxTY6Gi;Cammi Rivelin;0 Reindahl Drive;38;-5
00528326H;BeezvTj;Hebert Janku;260 Fisk Place;41;-6
00529468P;R1wSRmGje;Gun Jehan;1061 Kedzie Lane;37;-0
00550315R;uKe9vYMKwHp;Madelina Busk;71 Sundown Plaza;40;-6
00573350Q;yasWl1bhtB;Aryn Ladyman;7977 Arkansas Parkway;36;-8
00589227E;31lI34e1;Henriette Kell;7 Grasskamp Terrace;40;-3
00615015K;MHZ91Ue;Carolyn Seeley;0 Ridgeway Alley;42;-3
00618325S;q6j4zY;Hurley Ballinger;01411 Coleman Crossing;38;1
00626103J;8iSW902E;Dudley Mewhirter;023 Hanson Road;38;-0
00633826D;0C6ww1;Valera Landall;44005 Prairie Rose Center;38;-1
00668740Z;n7M7eA;Millie Esp;3 Canary Plaza;41;-7
00676961S;OEPMzBE;Felice Ashcroft;1174 Monica Crossing;36;-4
00693311L;9aMxXDNVP;Sileas Redier;0821 Meadow Valley Hill;41;-5
00710954W;EVZn4lN;Shaw Spancock;9967 Almo Hill;37;-8
00724360R;fAralfgaSlG;Court Stithe;94 Glacier Hill Road;38;1
00724413W;iM1tOLD7u;Diana Erswell;3638 David Terrace;41;2
00735503V;I25AhFNSowb;Marcos Hutchason;11 Carberry Terrace;42;-5
00736438J;VSP1rYB9;Giulio Bitcheno;07297 Summit Pass;36;-8
00740110K;ljlbpumc;Blair Leahey;92 Mayer Way;40;-4
00745750R;iqy4izDBkFs;Calla Cuer;85793 Logan Trail;40;-6
00747505E;P7ioVzp;Idell Gages;3112 Golf View Plaza;40;-5
00750987W;sa2Mqs7tptSD;Nanice Crosskill;935 Bunker Hill Road;41;-3
00764406P;sf5d0v3;Wiatt Manueau;588 Sutherland Street;38;1
00771744A;WELVg3;Trudy Lenchenko;0845 Forest Dale Center;43;0
00774209K;YjbFT7nu7i;Douglas Haselwood;621 Dryden Parkway;40;-0
00802827X;XkJXYaUo;Guy Whyley;7 North Pass;41;-1
00811848Z;140e5up5cnr;Clarabelle Sorro;2704 Ronald Regan Drive;38;-3
00818678M;AfPqndzG;Ninette Larkings;13513 Maryland Hill;37;0
00825774P;Kz5x1vsJ;Paolina Gouldthorp;405 Lindbergh Pass;41;-6
00833463S;HEMdbV02c;Hanna Bissill;9725 Kennedy Way;36;-8
00833617Q;83NUGiaL9;Loretta McKew;620 Dorton Trail;36;-3
00834435G;65PBMDewo8G;Billie Cowle;3895 Bay Junction;40;-3
00850873R;DsmpWq5R1h;Nichole Nise;594 Quincy Terrace;38;-5
00874016M;GuSYyR;Skelly Pingstone;955 Messerschmidt Court;37;-5
00911139A;5gqTeDur;Harbert Cowhig;387 Sullivan Junction;36;0
00911370N;1FuXigkeY;Max Glynne;32452 Schmedeman Junction;42;1
00919540Q;QacZTKnT3;Amye Letts;681 Raven Circle;39;-1
00943981F;57LAFLyRcwh;Celesta Dimnage;52 Lawn Street;42;-3
00970386O;oaHCuu7IUZ;Marysa Sjollema;8 Morningstar Parkway;36;-2
00986434J;di9bjgY;Annamaria Grzegorzewicz;5 Lyons Way;38;2
00991940H;YWpqN6zr2B;Candace Philipps;6713 Thierer Center;39;-1
00995828I;qA4EURhIecr;Renato Durtnall;6 Fulton Pass;40;-1
01001159E;3CqPAtaU5FCj;Noelle Stickles;2 Vidon Center;42;-7
01011254N;JlnDOWiQWI;Bill Blewmen;1864 Gerald Drive;41;-5
01026224M;8gEnOJW0r0Z8;Wayland Venner;21963 Rowland Center;38;-5
01042794A;QzEzpKnWdz6v;Maure Taaffe;9224 Mockingbird Alley;37;-6
01056648O;caexUqF;Jenna Oertzen;9 Browning Parkway;38;1
01058990M;x03BSK;Garvey Cakebread;63 Glendale Circle;36;2
01067634M;JDd6U72wZI;Keen Pennock;62 Chive Road;40;3
01099503F;w8cutn;Randell Dewick;588 Dexter Place;42;-2
01126541H;Za0ifRyxMuE;Wood Lafaye;58 Dakota Crossing;39;1
01138610D;6BS69pTn8t;Fancy Coen;47 Maple Wood Trail;36;-6
01139151O;cduZ6j1EIl;Boy Lyosik;93507 Sutteridge Circle;40;-8
01141084O;kJ7hkMZk4r7v;Ambrosio Fain;52888 Jackson Street;41;-8
01149912W;ykJRCgM6z3;Romona Pellamonuten;01 Lighthouse Bay Junction;41;1
01150468W;jjLPw4;Felic Arboine;82 Birchwood Avenue;39;-2
01155803E;EbXRZ4;Victor Ipsley;0110 Anniversary Road;40;-4
01165047K;X3lB1uIpkEx;Kassandra Give;4 Vahlen Place;41;-3
01175119P;xSjv67K;Karilynn Huard;01 Alpine Street;40;-4
01216142W;D3d8i7;Dionis Dallicott;136 Forest Drive;38;-8
01219691D;C6Si2tb;Bryn Janeway;0 Crest Line Pass;41;-4
01220619Q;ijqMxC0t1;Marion Case;6 Evergreen Park;42;-7
01233413Y;NmpRbGvJrt;Cathee Surgen;59 Waxwing Road;43;-1
01240074P;h0cSr368MUch;Augustina Skunes;37364 Fieldstone Court;42;-9
01242911R;t71KccdvgSW;Wye Wibberley;4595 Rockefeller Alley;37;-2
01244241A;HvHl30T;Marinna Oswald;3 Maple Avenue;36;-3
01257609W;WyKbEFGEH;Diana Lippitt;2 Quincy Circle;40;-2
01260119H;6rIVpQSO;Lonnie Folcarelli;05 Moland Way;41;-3
01277696I;aiWsHPM5;Kippar Fitzharris;72 Shelley Park;39;-0
01282123E;8q9pSh8LsiFr;Ursuline Tregust;3315 Carioca Plaza;38;-0
01285120F;4a9dG3;Rafaellle Cokely;988 Eagan Circle;39;-3
01292076S;CEDnj9A;Baxy Sandys;725 Kings Point;39;-8
01294735K;OYFgG1Ym;Katine McNeely;1 Knutson Road;40;-0
01306341K;mCCnQnK0D;Tabbatha Keohane;26 Rusk Drive;38;-8
01308842E;d41PeC5AmM;Amerigo Baudains;80 Kropf Street;40;-7
01332494L;dUEsZWK2nM;Beatriz Hassett;24 Mesta Place;37;-1
01360927F;Mu7oCI2s;Alyssa Fookes;10 Reindahl Street;43;-7
01363505F;msn9Unlpi;Charil Kerwen;1 Green Ridge Drive;36;-6
01365197Q;ljBH9CPtk;Nappy McCrie;344 Canary Alley;41;-4
01381357R;5SY01m;Samara Palethorpe;276 Carberry Pass;39;0
01394132V;TsTGBQzMuWa;Nanice Ricart;19738 Hintze Hill;36;0
01394776X;vSDe4f;Adelina Priter;7 Northport Crossing;37;2
01399320C;3DZCh0;Marcelle Marthen;36634 Annamark Lane;39;-8
01408356H;UqEbPKNacT;Rex Duchesne;054 Mallard Street;39;2
01459315Y;pdWIh1Hoe;Tiphany Buesnel;2865 Hoffman Drive;38;-0
01463547C;9Q5julEbQyn;Carmine O'Dyvoy;021 Susan Street;43;2
01492580L;3YU4y8MvfSs;Gloria Hazart;68 Schurz Street;41;-5
01497175C;kFgieSAcpDAc;Chickie Caffin;1022 Sunbrook Way;41;-2
01504994W;3M2xbf60bL;Lilyan Maltman;17754 Bunker Hill Alley;41;2
01505642S;mquOPLMebRoa;Emmie Kubica;77 Buhler Avenue;43;0
01519449X;MHsxUrfb;Cob Prydie;526 Pennsylvania Road;41;-1
01521357I;N8BzthpBCMI;Yettie Stimson;99 Hagan Plaza;40;-8
01522908B;17Ce3CnoC5JL;Shandeigh Parrott;50 Butternut Park;39;-4
01564541Y;Ke3jnOKqW7x;Taryn Eglaise;2 Kings Parkway;41;-0
01566157F;CVDl7HvmJG2;Jeffy Bernhart;80236 Banding Court;43;-1
01566509P;yQdiHO;Eula Smitherman;47690 Prentice Circle;36;-5
01579554M;tawdyZD;Hattie Yakobowitz;1 Bultman Junction;37;-4
01583114D;BjjGUn07O;Vallie Lyokhin;1 Manitowish Drive;40;-0
01586873K;TwR1pl9y;Abel Lulham;1696 Independence Junction;42;0
01588075P;qRxMQHXiTb;Davey Temple;6539 Homewood Drive;39;-7
01614906Z;yftOe8eO;Ailina Pocklington;1683 School Drive;39;0
01614977U;Td6MqX;Valentina Durant;2 Oakridge Circle;42;-3
01623015E;qJww1TeRP;Callida Daffern;406 Chive Street;40;0
01624291N;8TwiyIK;Kassey Hall;325 La Follette Parkway;43;-2
01643065B;RdawpwlhGwCO;Joete Hunnisett;68 Fuller Trail;42;-2
01648630X;cL6XV7h1hGpk;Mariejeanne Godleman;84484 Montana Hill;41;-1
01655047T;1t1eVpE;Nester Camoys;3154 Bartillon Alley;41;-5
01672254K;fotxT4vO0;Ediva Meritt;58236 Cody Parkway;37;1
01673686X;ORlVrQEeNlij;Cybil Sewill;508 Cascade Hill;38;0
01673896U;ZSd7mnTvf3;Delia Jerromes;3 Becker Alley;36;-7
01691081M;vDvIRrhNN;Merridie Dearlove;2368 Eliot Pass;41;-3
01703931J;YeQiZzfAV;Catarina Farady;62 Hanover Point;36;2
01709129Y;tdsFHA4aIeI;Reeba Field;834 Schurz Center;38;-3
01713696X;o0uGbP1;Lucilia Skpsey;40 Clarendon Crossing;37;-4
01734053S;RohHiVzBRr;Niels Hollindale;8080 Clyde Gallagher Hill;41;-1
01767293O;IeUnitrE;Mark Trail;27231 Logan Pass;39;-8
01772742K;2mnjtHkeRpk;Aurelie Jerman;94 Loeprich Road;43;-3
01814484A;9CWaPVSnjb;Celinka Salery;1465 Brown Center;43;-3
01819358K;fcyGSdSZW;Lorne Ros;641 Kings Point;38;-1
01820924Y;DMd5BZk8QS;Lorain Gland;601 Fair Oaks Terrace;38;-2
01825872K;Kdl5T4p3kkuK;Rollie Grinin;93 Pierstorff Avenue;36;-0
01827068M;sg6hUo2;Charley Extence;86 Blue Bill Park Avenue;42;-6
01870970P;wL1KT2HnTX;Goldia Catlette;0877 Independence Pass;36;-7
01890030K;X2px41gEgQ2;Gustie Treves;6020 Pepper Wood Crossing;38;0
01899005K;XJIoqHdTCV2;Ibbie McCluin;52 Del Sol Street;39;-2
01905361U;W8iwIqK;Tobi Gregoratti;11349 Esker Plaza;37;-3
01928276B;AJRBizhT;Dana Ochiltree;6515 Drewry Circle;38;-8
01932935N;iT0oAMs;Kari Skains;6746 Redwing Terrace;38;1
01967721U;LSr6mIMCTeF;Janka Meneux;59017 Beilfuss Place;40;-1
01992094L;89XaLwMhWe1J;Shepard Spadotto;6852 Manitowish Pass;41;-1
02013870K;0IZLlgGH8WkV;Tiebold Dienes;39409 Trailsway Street;40;-4
02014316V;U28tQGmgp88;Murdoch Philbrook;17 Center Alley;42;-7
02032063E;5koWmbKtE;Wells McReath;361 Del Mar Drive;37;-6
02041321S;Xar30sl;Caroline Beaston;721 Westerfield Pass;38;-2
02043249S;ZHfFRlcwMYp;Boothe Stilling;7 Fisk Street;40;-6
02072925M;NIKgEoU;Lorrie Trethewey;54 Mitchell Parkway;40;-8
02073634V;87GuDBL6sp8;Fayre Bunkle;864 Ronald Regan Road;41;-9
02077235T;Kv3FRcmx;Cindy Annott;29 Paget Plaza;40;-4
02088928X;CPdGRE7;Pippa Kinavan;53509 Ridgeview Place;41;2
02095311U;KlFRYDbf;Kendra McGibbon;7102 Norway Maple Center;41;-7
02102827Z;NAPFFt5Rn;Tawnya Braidman;73776 Fremont Place;41;-5
02123574U;Hf09in0F;Gretal Celloni;4 Oak Valley Place;36;-4
02147367U;hvbb5io4on;Yankee De Simoni;117 Reinke Lane;41;0
02150656H;0abO19fqP;Pip Mockford;574 Gulseth Alley;40;-7
02163743G;lsTlTpAPV;Leola Kingcott;7 Division Park;38;-7
02174705N;fBqjSPwKsV;Torre Tinker;7391 Evergreen Point;35;-2
02183240N;4oDdLw3DTP;Brody Canlin;1 Morrow Street;41;2
02197180T;fZi3TlMA;Jeffry Rowthorn;63 Fallview Court;36;-2
02203672D;tEuuUlP412;Byrle Saturley;57 Brown Center;36;3
02211468M;oJcS3VlE;Halsy Hanselmann;316 Maple Road;40;1
02232440Q;EGhSxw7S;Rudolph Pointin;31204 Service Trail;36;2
02240412P;vlPe4voH0i;Madeleine Macauley;078 Hoepker Point;37;1
02242091W;wbclR480F6j;Pansy Trowill;7 Eagle Crest Street;37;-6
02245091L;jSJ8l9Lw;Aigneis Gynne;2 Hovde Place;36;1
02248895P;0jmOXVqOzIt;Bird Kelby;4 Brentwood Terrace;37;-0
02251736F;EExW1E;Patten Legat;04 Hintze Park;41;-1
02269127V;cSS1A2;Shurwood Dominec;86318 Waywood Trail;41;-7
02280350M;r8tGT6;Charlotte Laflin;9217 Shoshone Road;38;-5
02286434X;A8A19ezpCWJ;Evangelina Bertie;675 Mitchell Point;36;-6
02300315Z;9HO9LUNdc;Reinhard Boerder;21078 Welch Parkway;37;-8
02305296C;qXZyT2Bz5B;Cordelia Sealeaf;55 Charing Cross Hill;42;-7
02332643J;tUbG7I2q7;Asia Mincher;0 Blue Bill Park Hill;38;2
02341416R;A1kDnc8;Norma Laurens;5 Northport Circle;37;-4
02343322M;DdeSjPcqKH;Ebeneser Schorah;00672 Bayside Circle;41;-5
02343842E;as4JZru;Blithe Falvey;84 Pearson Center;41;-0
02351317X;eLcqqH8F2;Wilbur McAvinchey;7 Mandrake Avenue;38;-5
02352319X;YorGN4;Eugen Willatt;456 Debs Center;39;-3
02364179C;paPsKkcG1;Latashia Wabersinke;6 Sheridan Plaza;37;-1
02364757B;raSOhbsLcISx;Sheela Cardoo;96 Northland Plaza;37;1
02373501I;unU9cTJ;Jeramey Lynn;90 Dapin Road;43;0
02374239U;9ixoBLqbl;Henrietta Bernadzki;795 Eagan Circle;39;-8
02379274A;0ngNnR;Freddie Keyte;5015 Wayridge Way;37;-4
02383283S;XVRa3gdB;Benedick Deeman;681 Orin Junction;42;2
02390610L;MSkMjnmyN;Rhys Saenz;683 Pawling Crossing;41;-5
02397207I;9Eq0Ln;Peyton Jack;98 Monterey Circle;41;-1
02399391L;AS72Trf7;Godard Shaughnessy;6399 Bashford Junction;38;-6
02404944J;chvxNaAA;Theodor Bortol;999 Emmet Junction;38;-6
02408242L;1TK8ky0hq;Nissy Goodricke;8 Anderson Street;40;-6
02431333C;La5xk1Ci;Lodovico Hayne;598 Kings Street;36;0
02434828D;xspGNhh;Allianora Wistance;57 Prairie Rose Pass;36;2
02469291U;CWNgTT5KA;Nickie Farmiloe;10 Mayer Trail;39;-6
02496471Y;KmSFmUXr0;Gladi Parnell;9 Debs Lane;42;-3
02500198T;o7yYfYl;Katherine McRannell;206 Sunfield Pass;40;-7
02510554B;yigQXgMW70r;Kerrie Robinett;766 Mccormick Way;37;-5
02510712P;oAX6Un;Drucie Aleksidze;884 John Wall Avenue;41;0
02514660T;wPIGrQlY;Garnette Jager;96 Steensland Court;41;0
02517842Y;vz0Fq1nH3h;Rhea Cowen;32052 Vermont Pass;42;-4
02518978O;rmWPAeV3;Mill Muddle;40436 Reindahl Place;37;-6
02523494O;eJCxPg14zsv;Perla Feldklein;97120 Oxford Road;39;-4
02542518N;rg6iP6gA;Bailey Spilsburie;4 Mesta Park;40;3
02553921K;UnDkcajs;Launce Castangia;5 Northfield Point;39;-5
02554743V;a7owLVQzj;Jackelyn Son;867 Roth Terrace;40;0
02557212B;Z57nao;Tannie Ollerhad;5 Commercial Hill;36;-5
02560006E;zFZIUjI;Mellicent Aberdalgy;74 Debs Place;37;-6
02564784F;fCR6uBeCo;Janean Conniam;1749 Iowa Center;40;2
02572809U;e3bHaRZeCnO;Reynolds Sibyllina;52 Derek Pass;40;-1
02578937M;GOebKO;Noreen Pomfrett;5 Macpherson Park;43;-3
02587573B;RJrFlgS9;Elna Francescozzi;72 Lerdahl Drive;41;-3
02590541C;moo5fh0k;Jens Kenwright;925 Marcy Hill;35;2
02593265J;mSZhm0A22a;Sigismundo Harpin;023 Oak Pass;38;1
02606142E;5SOl6tL;Bryn Allso;54585 Melby Circle;41;-0
02621051X;fuPDqCk;Mikel Farndell;5 Sundown Trail;37;1
02639383A;Ty9uTb5BX;Bryna Powys;8 Del Sol Place;42;-7
02641403Z;tqxBgoU4;Myrwyn Corradengo;86163 Continental Court;37;-8
02643331W;7XShjOj2aFG;Myron Dockwray;680 Fallview Pass;40;-7
02669857N;S0myef8Jm2;Teddi Turbern;95 Lotheville Place;37;-6
02677946K;uTI8yNU1WUYi;Giulio Sherr;836 Trailsway Road;37;-8
02680135R;MXMLt0;Sandi Aarons;17 Sutherland Center;37;0
02682806I;0adlu2WmGZVx;Flo Inchboard;7 Graceland Lane;40;-4
02682958H;nPsBaTc8Sio;Chrystel Buckie;1861 Burrows Plaza;38;-6
02686141H;8jTdBhun8f;Carr Padden;1 Prairie Rose Way;40;3
02692740N;M00Whp34RR;Brita Prigg;911 Manufacturers Crossing;38;-0
02713388U;h0LpawAiCn;Pancho Leader;219 Crowley Way;42;-4
02735698M;Kq229JNUATh;Holden Collison;4415 8th Park;40;1
02736485N;AKVA0gr;Felicdad Axworthy;17 Swallow Parkway;37;-2
02744086H;iJwta7Mcf;Rodie Parnall;26668 Dahle Point;37;-8
02759184V;8Ve30G;Bev Smalles;70746 Golf Course Hill;40;-6
02760358Y;PbGI69Mm;Sheppard Ffoulkes;046 Trailsway Road;37;-3
02769624X;IqnPML86;Clo Towns;5971 Butternut Point;41;2
02799082R;HY0Noq2LL8n;Araldo Couchman;909 Charing Cross Place;39;-3
02824460O;Hd41rrowmZr;Pauly Jarrard;666 Elka Park;40;2
02830227I;69NSXiVDKlu;Lesya McRavey;02 Donald Crossing;36;1
02845377D;IXSiin;Quintus Aubin;8456 Vera Point;37;1
02848132X;PUIeFhp9scO;Barbabas Golland;89 Tony Lane;40;-4
02850335B;yd9RmIt;Farley Antosch;2521 Ramsey Place;41;-6
02871396J;wluUzxrQV;Hamid Gedling;977 Schmedeman Junction;41;-3
02880618Z;VsbA0TEz;Oralee Jerrans;16 Harbort Hill;39;-5
02881320U;aYgpANF;Gillan Ambroz;68 Di Loreto Parkway;37;-2
02882722D;kivEbac;Henryetta Giacomi;6865 Thompson Way;38;-1
02908378L;BsTmZEK;Javier Hammon;33 Forest Run Street;40;-9
02910448I;89Mr7wF8X4Rj;Mela Lapwood;46396 Sutherland Point;38;-3
02922047F;zNsVWYeh7e1;Ellie Senchenko;87 Garrison Hill;36;2
02949185I;kq70MlC;Lulita Spanswick;75274 Arkansas Trail;37;-3
02971184B;ccHdoHi;Barbe Moakson;658 Becker Drive;37;-6
02985194H;6yRRnZp;Elly Ferier;1 Rieder Trail;40;3
02995845S;tvDGROdR5WJ;Claudine Gooms;92381 David Parkway;40;1
03032088E;TOPM0Ajy;Blake Vynoll;39 Daystar Alley;42;2
03033056A;lO6gCZhu;Floyd Defont;24 Hallows Crossing;41;-3
03037708W;eFcuFwKh;Hildagard Tax;097 Loftsgordon Center;38;-6
03044041K;cgfAuS26IzPo;Panchito Shaplin;83 Corscot Plaza;38;-9
03058595Z;nOV5WnzC;Louisa Crehan;689 Armistice Crossing;42;2
03062074B;evWi8Uwm;Alisun Haggus;4919 Eagle Crest Avenue;39;-0
03086726P;GjcoFcWFacW;Salem Mountfort;07 Sachs Pass;41;-7
03088129P;zh8mqjH4p;Bill Marrows;1 Becker Trail;41;3
03090110B;GeG2QH;Casi Roglieri;386 Stuart Pass;37;-2
03109568A;rWfyfgV;Wendi Sleaford;7384 Caliangt Point;41;0
03110369V;r8MpO8Ef6L;Trever Winser;1 Hanson Drive;36;-4
03137500X;C4BasY;Kattie Connerry;6585 Brentwood Court;41;2
03146825D;Z0VvpFQjCc;Christy Kabos;6 Prairie Rose Junction;39;-3
03154314E;9CHKny1fc;Bonita Deluca;2173 Lakewood Gardens Alley;43;-5
03164696C;Afqhz4AFeDL;Adiana Judron;2324 Hoffman Crossing;36;-6
03183444C;oIErnqN;Alia Feldfisher;9866 Pleasure Point;39;-4
03192033E;SWXBzFaI;Moira Doppler;63678 Sunbrook Alley;40;-8
03194333N;WjziVdhHe5yS;Cesare Ingliby;1 Center Hill;38;-7
03195406I;U0npU5yJDZ;Aurie Bonniface;7 Granby Street;41;-2
03212639Z;qZC2Q9;Juditha Valder;20 Daystar Hill;41;-0
03223601B;ll0YfX7xO4k;Lishe Perkis;7089 Cody Drive;37;-2
03232564J;V8EMtggx;Collette Huntriss;3183 Packers Lane;41;-8
03234827L;TpJd6bdF0;Montgomery Rennocks;3 Mariners Cove Way;41;-0
03238900N;5rMS3EI02o10;Rosabelle Stickley;97 Sundown Point;36;-4
03240179M;VxVYKRP;Cyndy Stripling;69 Coleman Point;37;-4
03243334L;p1GNzIxGpo;Valentia Trymme;2 Golf Course Circle;36;-7
03251129K;HkVA6jyDUTNe;Joycelin Pavolillo;30 Morrow Terrace;43;-7
03264908U;JP0tTC8yN;Parker McGing;1 Jay Alley;37;-7
03291676K;GaK4dR;Hadria Yakuntzov;3756 Pearson Alley;42;1
03324263P;AL4Bh6lBFDjU;Tate Caller;340 Petterle Plaza;40;-8
03328619T;09VmgcVQ;Nissy Eilers;099 Warner Drive;36;-9
03331288Y;b0wsCe7UKd;Birgitta Midner;6590 Maywood Street;42;-7
03331704B;FMbePzAhV54j;Orelle Glassborow;28513 Elgar Junction;38;2
03352788A;pK7HQZBYf0D;Ernesta Alderton;2612 Upham Road;41;-1
03359712N;Xw7tUNI;Dredi Burris;9 Havey Parkway;40;-0
03360748Y;7XjrG2t;Garnet Elegood;60250 Banding Circle;41;-0
03366777L;Bwqx77hlWIZW;Consuelo Charleston;19 Lindbergh Park;42;-4
03371738A;KaUS7307KKk;Alena Meaddowcroft;259 Ohio Drive;38;-4
03387214K;zIO3JDYGLA;Lombard Casali;20278 Park Meadow Junction;40;2
03388539C;bBw7U2B;Lin Blenkin;36934 Bashford Pass;37;-2
03395542L;fm3wu0cBgtj;Kiah Brockelsby;15618 Dexter Parkway;40;1
03410991E;wgcgRH;Ingelbert Elles;33578 Sloan Point;36;-1
03421094B;CVuepYa8aqf;Jabez Bearham;5882 Starling Center;35;0
03428564J;Atbu0GM;Harp Dwire;6 Grover Road;39;-2
03428799F;vLKPUFXF9zE;Sallee Urion;03494 High Crossing Center;39;2
03430669B;1YrUt4314ho;Isak Corn;44671 Nelson Place;37;-3
03431224M;761MYboVJp;Gisela Bradford;2462 American Parkway;39;-3
03432304B;Z880Ar7;Corilla Abbes;64486 7th Center;38;2
03452678I;9LbxeL;Bernie Odom;9 Raven Crossing;36;-7
03456818W;H3mpjfSZb990;Davy Jone;9 Esch Park;39;-1
03462176E;vJqRNoz;Kinsley Foan;13135 Blackbird Place;40;-7
03466180V;rPlXhOL0T;Saloma McNevin;280 Lawn Pass;36;-7
03472288E;yUkVqnk1;Aridatha Russo;56866 Sunbrook Circle;41;-8
03517494M;BdO2di8idFL;Lora Hughlock;41 Cody Junction;40;-6
03563858F;nzi7cig5L;Arley Wheaton;080 Pearson Lane;42;-3
03599938I;FCKkIwo5;Sharron Cruickshanks;14 Jenna Crossing;38;-1
03607970Y;2WMEtTGLKRYQ;Betsy Shalliker;6126 Nobel Center;36;-2
03612167R;kUvFjr4eeNEt;Jeralee Schoolcroft;3653 Dunning Way;41;-7
03617327R;HWCy4Bjg4G;Royall Sewill;9 Sutherland Way;42;1
03642489B;kwgt13TJ0mJ;Lezlie Bianco;80 Superior Street;40;-8
03653213P;0RC0JQilFC;Marjorie Uzelli;399 Springview Trail;39;-1
03658807R;jihdcn;Isabelle Brabin;8095 Tennessee Place;41;-3
03660078S;p0TqvlNcaoM;Martelle MacGill;9453 Montana Pass;39;-3
03660285K;l4gjl1oygFI;Lucilia Macewan;6 South Pass;41;-5
03665049E;3gLlagHMmV;Ambros Danson;078 Loftsgordon Plaza;36;-8
03669055J;7LnFJaE6;Genny Poat;39127 Sauthoff Trail;38;-3
